#code	taxid	primary taxid	taxname
1	4829	4829	Absidia glauca
1	245562	245562	Acidomyces richmondensis
1	766039	766039	Acidomyces richmondensis BFW
1	857340	857340	Acremonium chrysogenum ATCC 11550
1	597362	597362	Agaricus bisporus var. burnettii JB137-S8
1	578462	578462	Allomyces macrogynus ATCC 38327
1	5599	5599	Alternaria alternata
1	946122	946122	Amanita muscaria Koide BX008
1	1866961	1866961	Amphiamblys sp. WSBS2006
1	1240240	1240240	Anncaliia algerae PRA109
1	1288291	1288291	Anncaliia algerae PRA339
1	1277687	1277687	Anthracocystis flocculosa PF-1
1	756982	756982	Arthrobotrys oligospora ATCC 24927
1	554155	554155	Microsporum canis CBS 113480
1	1081109	1081109	Moelleriella libera RCEF 2490
1	5454	5454	Ascochyta rabiei
1	1344418	1344418	Ascoidea rubescens DSM 1968
1	392613	392613	Ascosphaera apis ARSEF 7405
1	284811	284811	Eremothecium gossypii ATCC 10895
1	690307	690307	Aspergillus aculeatus ATCC 16872
1	109264	109264	Aspergillus bombycis
1	767769	767769	Aspergillus brasiliensis CBS 101740
1	454130	454130	Aspergillus calidoustus
1	602072	602072	Aspergillus carbonarius ITEM 5010
1	344612	344612	Aspergillus clavatus NRRL 1
1	573508	573508	Aspergillus cristatus
1	1392242	1392242	Aspergillus flavus AF70
1	332952	332952	Aspergillus flavus NRRL3357
1	451804	451804	Aspergillus fumigatus A1163
1	330879	330879	Aspergillus fumigatus Af293
1	1476192	1476192	Aspergillus fumigatus var. RP-2014
1	1437362	1437362	Aspergillus fumigatus Z5
1	1160497	1160497	Aspergillus glaucus CBS 516.65
1	293939	293939	Aspergillus lentulus
1	1069201	1069201	Aspergillus luchuensis
1	1137211	1137211	Aspergillus luchuensis CBS 106.47
1	227321	227321	Aspergillus nidulans FGSC A4
1	227321	227321	Aspergillus nidulans FGSC A4
1	5061	5061	Aspergillus niger
1	380704	380704	Aspergillus niger ATCC 1015
1	5061	5061	Aspergillus niger
1	1509407	1509407	Aspergillus nomius NRRL 13137
1	138278	138278	Aspergillus ochraceoroseus
1	1197718	1197718	Aspergillus oryzae 100-8
1	1160506	1160506	Aspergillus oryzae 3.042
1	510516	510516	Aspergillus oryzae RIB40
1	5062	5062	Aspergillus oryzae
1	1403190	1403190	Aspergillus parasiticus SU-1
1	308745	308745	Aspergillus rambellii
1	1388766	1388766	Aspergillus ruber CBS 135680
1	1036612	1036612	Aspergillus sydowii CBS 593.65
1	341663	341663	Aspergillus terreus NIH2624
1	767770	767770	Aspergillus tubingensis CBS 134.48
1	91492	91492	Aspergillus udagawae
1	40382	40382	Aspergillus ustus
1	1036611	1036611	Aspergillus versicolor CBS 583.65
1	1073089	1073089	Aspergillus wentii DTO 134E9
1	1043003	1043003	Aureobasidium melanogenum CBS 110374
1	1043004	1043004	Aureobasidium namibiae CBS 147.97
1	5580	5580	Aureobasidium pullulans
1	1043002	1043002	Aureobasidium pullulans EXF-150
1	1043005	1043005	Aureobasidium subglaciale EXF-2481
1	984486	984486	Babjeviella inositovora NRRL Y-12698
1	684364	684364	Batrachochytrium dendrobatidis JAM81
1	403673	403673	Batrachochytrium dendrobatidis JEL423
1	1357716	1357716	Batrachochytrium salamandrivorans
1	717646	717646	Baudoinia panamericana UAMH 10762
1	655819	655819	Beauveria bassiana ARSEF 2860
1	176275	176275	Beauveria bassiana
1	1245745	1245745	Beauveria bassiana D1-5
1	665024	665024	Bipolaris maydis ATCC 48331
1	701091	701091	Bipolaris maydis C5
1	930090	930090	Bipolaris oryzae ATCC 44560
1	665912	665912	Bipolaris sorokiniana ND90Pr
1	930091	930091	Bipolaris victoriae FI3
1	930089	930089	Bipolaris zeicola 26-R-13
1	653446	653446	Blastomyces dermatitidis ATCC 18188
1	447095	447095	Blastomyces dermatitidis ATCC 26199
1	559297	559297	Blastomyces dermatitidis ER-3
1	559298	559298	Blastomyces gilchristii SLH14081
1	1658174	1658174	Blastomyces percursus
1	546991	546991	Blumeria graminis f. sp. hordei DH14
1	1268274	1268274	Blumeria graminis f. sp. tritici 96224
1	930990	930990	Botryobasidium botryosum FD-172 SS1
1	332648	332648	Botrytis cinerea B05.10
1	1290391	1290391	Botrytis cinerea BcDW1
1	999810	999810	Botrytis cinerea T4
1	1124627	1124627	Brettanomyces bruxellensis AWRI1499
1	1356009	1356009	Byssochlamys spectabilis No. 5
1	1353952	1353952	Calocera cornea HHB12733
1	1330018	1330018	Calocera viscosa TUFC12733
1	1094981	1094981	Candida albicans 12C
1	1094987	1094987	Candida albicans 19F
1	1165368	1165368	Candida albicans Ca6
1	1094988	1094988	Candida albicans GC75
1	1094982	1094982	Candida albicans L26
1	1094991	1094991	Candida albicans P34048
1	1094985	1094985	Candida albicans P37005
1	1094992	1094992	Candida albicans P37037
1	1094993	1094993	Candida albicans P37039
1	1094996	1094996	Candida albicans P57055
1	1094990	1094990	Candida albicans P57072
1	1094986	1094986	Candida albicans P60002
1	1094994	1094994	Candida albicans P75010
1	1094995	1094995	Candida albicans P75016
1	1094997	1094997	Candida albicans P75063
1	1094998	1094998	Candida albicans P76055
1	1094999	1094999	Candida albicans P76067
1	1095000	1095000	Candida albicans P78042
1	1094989	1094989	Candida albicans P78048
1	1094984	1094984	Candida albicans P87
1	1094983	1094983	Candida albicans P94015
1	237561	237561	Candida albicans SC5314
1	237561	237561	Candida albicans SC5314
1	237561	237561	Candida albicans SC5314
1	294748	294748	Candida albicans WO-1
1	983967	983967	[Candida] arabinofermentans NRRL YB-2248
1	498019	498019	[Candida] auris
1	573826	573826	Candida dubliniensis CD36
1	5478	5478	[Candida] glabrata
1	5478	5478	[Candida] glabrata
1	5478	5478	[Candida] glabrata
1	5478	5478	[Candida] glabrata
1	5478	5478	[Candida] glabrata
1	5478	5478	[Candida] glabrata
1	5478	5478	[Candida] glabrata
1	45354	45354	[Candida] intermedia
1	45354	45354	[Candida] intermedia
1	1245528	1245528	Candida maltosa Xu316
1	1136231	1136231	Candida orthopsilosis Co 90-125
1	5480	5480	Candida parapsilosis
1	984487	984487	Suhomyces tanzawaensis NRRL Y-17324
1	590646	590646	Yamadazyma tenuis ATCC 10573
1	294747	294747	Candida tropicalis MYA-3404
1	1182541	1182541	Capronia coronata CBS 617.96
1	1182542	1182542	Capronia epimyces CBS 606.96
1	401625	401625	Ceraceosorus bombacis
