#code	taxid	primary taxid	taxname
1	1450171	1450171	Aaosphaeria arxii
1	137743	137743	Abortiporus biennis
1	137743	137743	Abortiporus biennis
1	90267	90267	Chlamydoabsidia padenii
1	90262	90262	Absidia repens
1	215250	215250	Acaromyces ingoldii
1	886606	886606	Acephala macrosclerotiorum
1	79814	79814	Achaetomium strumarium
1	245562	245562	Acidomyces richmondensis
1	245562	245562	Acidomyces richmondensis
1	1442179	1442179	Acidothrix acidophila
1	591952	591952	Acremonium alcalophilum JCM 7366
1	857340	857340	Acremonium chrysogenum ATCC 11550
1	5046	5046	Sarocladium strictum
1	44565	44565	Sterigmatomyces hyphaenes
1	936046	936046	Agaricus bisporus var. bisporus H97
1	597362	597362	Agaricus bisporus var. burnettii JB137-S8
1	84607	84607	Agrocybe pediades
1	112102	112102	Aliquandostipite khaoyaiensis
1	578462	578462	Allomyces macrogynus ATCC 38327
1	5599	5599	Alternaria alternata
1	5599	5599	Alternaria alternata
1	29001	29001	Alternaria brassicicola
1	1187941	1187941	Alternaria rosae
1	946122	946122	Amanita muscaria Koide BX008
1	703135	703135	Amanita thiersii Skay4041
1	1392246	1392246	Amniculicola lignicola CBS 123094
1	5101	5101	Amorphotheca resinae
1	50730	50730	Ampelomyces quisqualis
1	202700	202700	Amylocystis lapponica
1	55340	55340	Amylostereum chailletii
1	1754192	1754192	Anaeromyces robustus
1	693288	693288	Anomoloma albolutescens
1	264122	264122	Anomoporia bombycina
1	1405086	1405086	Anthostoma avocetta NRRL 3190
1	1284279	1284279	Antonospora locustae HM-2013
1	139415	139415	Antrodia serialis
1	1333626	1333626	Adustoporia sinuosa
1	314023	314023	Apiosordaria backusii
1	335852	335852	Arthrinium arundinis
1	462254	462254	Aplosporella prunicola
1	516989	516989	Apodospora peruviana
1	1211726	1211726	Elmerina caryae
1	47426	47426	Armillaria cepistipes
1	47427	47427	Armillaria gallica
1	1314977	1314977	Armillaria mellea DSM 3731
1	64368	64368	Armillaria nabsnona
1	47428	47428	Armillaria ostoyae
1	1076256	1076256	Armillaria solidipes
1	53486	53486	Saccharomycopsis fermentans
1	756982	756982	Arthrobotrys oligospora ATCC 24927
1	663331	663331	Trichophyton benhamiae CBS 112371
1	526244	526244	Trametes elegans
1	526244	526244	Trametes elegans
1	5191	5191	Ascobolus immersus
1	5454	5454	Ascochyta rabiei
1	1016881	1016881	Ascocoryne sarcoides NRRL 50072
1	341454	341454	Ascodesmis nigricans
1	1344418	1344418	Ascoidea rubescens DSM 1968
1	286159	286159	Aspergillus nidulans var. acristatus
1	487661	487661	Aspergillus aculeatinus
1	690307	690307	Aspergillus aculeatus ATCC 16872
1	176161	176161	Aspergillus amylovorus
1	41753	41753	Aspergillus bisporus
1	109264	109264	Aspergillus bombycis
1	767769	767769	Aspergillus brasiliensis CBS 101740
1	176172	176172	Aspergillus brevijanus
1	1191711	1191711	Aspergillus brunneoviolaceus
1	454130	454130	Aspergillus calidoustus
1	1392248	1392248	Aspergillus campestris IBT 28561
1	41067	41067	Aspergillus candidus
1	602072	602072	Aspergillus carbonarius ITEM 5010
1	182096	182096	Aspergillus chevalieri
1	344612	344612	Aspergillus clavatus NRRL 1
1	319631	319631	Aspergillus costaricaensis
1	573508	573508	Aspergillus cristatus
1	1810909	1810909	Aspergillus desertorum
1	41066	41066	Aspergillus ellipticus
1	1340029	1340029	Aspergillus eucalypticola
1	1191702	1191702	Aspergillus fijiensis
1	447248	447248	Aspergillus filifer
1	332952	332952	Aspergillus flavus NRRL3357
1	451804	451804	Aspergillus fumigatus A1163
1	330879	330879	Aspergillus fumigatus Af293
1	176168	176168	Aspergillus funiculosus
1	1160497	1160497	Aspergillus glaucus CBS 516.65
1	51019	51019	Aspergillus heteromorphus
1	319626	319626	Aspergillus homomorphus
1	301854	301854	Aspergillus ibericus
1	138288	138288	Aspergillus terricola var. indicus
1	1232676	1232676	Aspergillus indologenus
1	1131488	1131488	Aspergillus insolitus
1	34381	34381	Aspergillus japonicus
1	1033177	1033177	Aspergillus kawachii IFO 4308
1	319628	319628	Aspergillus lacticoffeatus
1	1137211	1137211	Aspergillus luchuensis CBS 106.47
1	41759	41759	Aspergillus multicolor
1	1883083	1883083	Aspergillus neoauricomus
1	2184044	2184044	Aspergillus sp. JGI-2018a
1	1196635	1196635	Aspergillus neoniger
1	162425	162425	Aspergillus nidulans
1	380704	380704	Aspergillus niger ATCC 1015
1	425011	425011	Aspergillus niger CBS 513.88
1	1451139	1451139	Aspergillus niger NRRL3
1	1353008	1353008	Aspergillus niger ATCC 13496
1	1509407	1509407	Aspergillus nomius NRRL 13137
1	1392255	1392255	Aspergillus novofumigatus IBT 16806
1	1392256	1392256	Aspergillus ochraceoroseus IBT 24754
1	138278	138278	Aspergillus ochraceoroseus
1	1250372	1250372	Aspergillus olivicola
1	510516	510516	Aspergillus oryzae RIB40
1	41750	41750	Aspergillus parvulus
1	41959	41959	Aspergillus penicillioides
1	1353007	1353007	Aspergillus phoenicis ATCC 13157
1	319630	319630	Aspergillus piperis
1	308745	308745	Aspergillus rambellii
1	41761	41761	Aspergillus recurvatus
1	5064	5064	Aspergillus restrictus
1	138281	138281	Aspergillus robustus
1	1250373	1250373	Aspergillus roseoglobulosus
1	979771	979771	Aspergillus saccharolyticus
1	487660	487660	Aspergillus sclerotiicarbonarius
1	319627	319627	Aspergillus sclerotioniger
1	138282	138282	Aspergillus sclerotiorum
1	1810926	1810926	Aspergillus stella-maris
1	1883081	1883081	Aspergillus stercoraria
1	1392250	1392250	Aspergillus steynii IBT 23096
1	1036612	1036612	Aspergillus sydowii CBS 593.65
1	482145	482145	Aspergillus taichungensis
1	341663	341663	Aspergillus terreus NIH2624
1	478866	478866	Aspergillus tritici
1	767770	767770	Aspergillus tubingensis CBS 134.48
1	91492	91492	Aspergillus udagawae
1	1810928	1810928	Aspergillus undulatus
1	40381	40381	Aspergillus unguis
1	446911	446911	Aspergillus uvarum
1	288669	288669	Aspergillus vadensis
1	1810929	1810929	Aspergillus venezuelensis
1	1036611	1036611	Aspergillus versicolor CBS 583.65
1	657443	657443	Aspergillus violaceofuscus
1	1341132	1341132	Aspergillus welwitschiae
1	1073089	1073089	Aspergillus wentii DTO 134E9
1	1073090	1073090	Penicilliopsis zonata CBS 506.65
1	1938712	1938712	Atractiella rhizophila
1	1176130	1176130	Aulographum hederae
1	1043003	1043003	Aureobasidium melanogenum CBS 110374
1	1043004	1043004	Aureobasidium namibiae CBS 147.97
1	5580	5580	Aureobasidium pullulans
1	1043005	1043005	Aureobasidium subglaciale EXF-2481
1	717982	717982	Auricularia subglabra TFB-10046 SS5
1	97359	97359	Auriculariopsis ampla
1	40419	40419	Auriscalpium vulgare
1	984486	984486	Babjeviella inositovora NRRL Y-12698
1	64653	64653	Backusella circina
1	1230402	1230402	Basidioascus undulatus
1	423460	423460	Basidiobolus meristosporus
1	684364	684364	Batrachochytrium dendrobatidis JAM81
1	717646	717646	Baudoinia panamericana UAMH 10762
1	655819	655819	Beauveria bassiana ARSEF 2860
1	147497	147497	Bimuria novae-zelandiae
1	97378	97378	Biscogniauxia nummularia
1	1954211	1954211	Bisporella sp. PMI_857
1	748444	748444	Bjerkandera adusta HHB-12826-SP SB-22
1	4850	4850	Blakeslea trispora
1	1401090	1401090	Blastobotrys adeninivorans LR3
1	64508	64508	Blastocladiella britannica
1	559298	559298	Blastomyces gilchristii SLH14081
1	546991	546991	Blumeria graminis f. sp. hordei DH14
1	62688	62688	Blumeria graminis f. sp. hordei
1	1268274	1268274	Blumeria graminis f. sp. tritici 96224
1	388810	388810	Blyttiomyces helicus
1	749465	749465	Boeremia exigua
1	34439	34439	Bolbitius vitellinus
1	1328754	1328754	Boletus edulis BED1
1	252184	252184	Bombardia bombarda
1	930990	930990	Botryobasidium botryosum FD-172 SS1
1	55169	55169	Botryosphaeria dothidea
1	280465	280465	Botryozyma mucatilis
1	40559	40559	Botrytis cinerea
1	73172	73172	Bulgaria inquinans
1	1356009	1356009	Byssochlamys spectabilis No. 5
1	147558	147558	Byssothecium circinans
1	1485229	1485229	Cadophora sp. DSE1049
1	1907482	1907482	Caecomyces sp. A
1	380014	380014	Caliciopsis orientalis
1	1353952	1353952	Calocera cornea HHB12733
1	1330018	1330018	Calocera viscosa TUFC12733
1	47187	47187	Caloscypha fulgens
1	312312	312312	Calosphaeria pulchella
1	237561	237561	Candida albicans SC5314
1	983967	983967	[Candida] arabinofermentans NRRL YB-2248
1	984487	984487	Suhomyces tanzawaensis NRRL Y-17324
1	590646	590646	Yamadazyma tenuis ATCC 10573
1	36065	36065	Cantharellus
1	1182541	1182541	Capronia coronata CBS 617.96
1	1182542	1182542	Capronia epimyces CBS 606.96
1	5601	5601	Phialophora americana
1	109876	109876	Catenaria anguillulae
1	1555241	1555241	Caulochytrium protostelioides
1	1555241	1555241	Caulochytrium protostelioides
1	794803	794803	Cenococcum geophilum 1.58
1	43958	43958	Cephaloascus albidus
1	27311	27311	Cephaloascus fragrans
1	1522189	1522189	Ceraceosorus guamensis
1	305860	305860	Ceratobasidium sp. AG-I
1	314043	314043	Cercophora caudata
1	92897	92897	Cercophora newfieldiana
1	314031	314031	Cercophora scortea
1	717836	717836	Cercospora zeae-maydis SCOH1-5
1	1175230	1175230	Cerinomyces ceraceus
1	914234	914234	Gelatoporia subvermispora B
1	1142151	1142151	Cerrena unicolor 303
1	1854472	1854472	Chaetomium fimeti
1	306901	306901	Chaetomium globosum CBS 148.51
1	139949	139949	Chaetosphaeria innumera
1	1379296	1379296	Chalara longipes BDJ
1	54742	54742	Chionosphaera apobasidialis
1	180810	180810	Chionosphaera cuniculicola
1	1336337	1336337	Choiromyces venosus 120613-1
1	64509	64509	Chytridium lagenaria
1	1882861	1882861	Chytriomyces sp. MP71
1	101103	101103	Circinella umbellata
1	1437435	1437435	Cladochytrium polystomum
1	27339	27339	Cladonia grayi
1	1442370	1442370	Cladophialophora bantiana CBS 173.52
1	1279043	1279043	Cladophialophora carrionii CBS 160.54
1	569365	569365	Cladophialophora immunda
1	1182543	1182543	Cladophialophora psammophila CBS 110553
1	1182544	1182544	Cladophialophora yegresii CBS 114405
1	585595	585595	Cladorrhinum bulbillosum
1	5499	5499	Passalora fulva
1	92950	92950	Cladosporium sphaerospermum
1	706981	706981	Clathrospora elynae
1	48021	48021	Artomyces pyxidatus
1	306902	306902	Clavispora lusitaniae ATCC 42720
1	1486700	1486700	Clavulina sp. PMI_390
1	239101	239101	Climacocystis borealis
1	378275	378275	Infundibulicybe gibba
1	1231657	1231657	Clohesyomyces aquaticus
1	29856	29856	Clonostachys rosea
1	246410	246410	Coccidioides immitis RS
1	54530	54530	Coccodinium bartschii
1	380015	380015	Coccomyces strobi
1	930089	930089	Bipolaris zeicola 26-R-13
1	5016	5016	Bipolaris maydis
1	701091	701091	Bipolaris maydis C5
1	977863	977863	Curvularia lunata m118
1	930090	930090	Bipolaris oryzae ATCC 44560
1	665912	665912	Bipolaris sorokiniana ND90Pr
1	930091	930091	Bipolaris victoriae FI3
1	4864	4864	Coemansia mojavensis
1	763665	763665	Coemansia reversa NRRL 1564
1	417178	417178	Coemansia spiralis
1	90255	90255	Cokeromyces recurvatus
1	27357	27357	Colletotrichum acutatum
1	5460	5460	Colletotrichum caudatum
1	343994	343994	Colletotrichum cereale
1	1173702	1173702	Colletotrichum eremochloae
1	129314	129314	Colletotrichum falcatum
1	1445577	1445577	Colletotrichum fioriniae PJ7
1	1209918	1209918	Colletotrichum godetiae
1	645133	645133	Colletotrichum graminicola M1.001
1	759273	759273	Colletotrichum higginsianum IMI 349063
1	145971	145971	Colletotrichum lupini
1	681940	681940	Colletotrichum navitas
1	1460502	1460502	Colletotrichum nymphaeae SA-01
1	1209926	1209926	Colletotrichum orchidophilum
1	359342	359342	Colletotrichum phormii
1	1209931	1209931	Colletotrichum salicis
1	703756	703756	Colletotrichum simmondsii
1	1500509	1500509	Colletotrichum somersetense
1	1173701	1173701	Colletotrichum sublineola
1	708197	708197	Colletotrichum tofieldiae
1	1216348	1216348	Colletotrichum zoysiae
1	796925	796925	Conidiobolus coronatus NRRL 28638
1	1314799	1314799	Conidiobolus thromboides FSU 785
1	172190	172190	Coniella
1	177197	177197	Coniochaeta ligniaria
1	177197	177197	Coniochaeta ligniaria
1	1571157	1571157	Coniochaeta sp. 2T2.1
1	1450552	1450552	Coniochaeta sp. PMI_546
1	85977	85977	Coniophora olivacea
1	741705	741705	Coniophora puteana RWD-64-598 SS2
1	1168221	1168221	Coniosporium apollinis CBS 100218
1	980116	980116	Coprinellus angulatus
1	71717	71717	Coprinellus micaceus
1	575509	575509	Coprinellus pellucidus
1	5346	5346	Coprinopsis cinerea
1	1132390	1132390	Coprinopsis cinerea AmutBmut pab1-1
