[Organism]	[Strain]	[NCBI taxon ID]
Aspergillus kawachii IFO 4308	IFO 4308	1033177(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1033177)
Aspergillus versicolor CBS 583.65	CBS 583.65	1036611(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1036611)
Aspergillus sydowii CBS 593.65	CBS 593.65	1036612(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1036612)
Phytophthora cinnamomi var. cinnamomi CBS 144.22	var. cinnamomi CBS 144.22	1048749(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1048749)
Aspergillus wentii DTO 134E9	DTO 134E9	1073089(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1073089)
Aspergillus zonatus CBS 506.65	CBS 506.65	1073090(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1073090)
Fusarium oxysporum f. sp. cubense tropical race 4 54006	f. sp. cubense tropical race 4 54006	1089451(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1089451)
Fusarium oxysporum f. sp. melonis 26406	f. sp. melonis 26406	1089452(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1089452)
Aspergillus luchuensis CBS 106.47	CBS 106.47	1137211(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1137211)
Saprolegnia diclina VS20	VS20	1156394(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1156394)
Aspergillus glaucus CBS 516.65	CBS 516.65	1160497(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1160497)
Pneumocystis jirovecii SE8	SE8	1209962(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1209962)
Pythium aphanidermatum DAOM BR444	DAOM BR444	1223555(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1223555)
Pythium arrhenomanes ATCC 12531	ATCC 12531	1223556(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1223556)
