[Organism]	[Strain]	[Fasta Download Link]
Aspergillus kawachii IFO 4308	IFO 4308	http://FungiDB.org/common/downloads/Current_Release/AkawachiiIFO4308/fasta/data/FungiDB-41_AkawachiiIFO4308_Genome.fasta
Aspergillus versicolor CBS 583.65	CBS 583.65	http://FungiDB.org/common/downloads/Current_Release/AversicolorCBS583.65/fasta/data/FungiDB-41_AversicolorCBS583.65_Genome.fasta
Aspergillus sydowii CBS 593.65	CBS 593.65	http://FungiDB.org/common/downloads/Current_Release/AsydowiiCBS593.65/fasta/data/FungiDB-41_AsydowiiCBS593.65_Genome.fasta
Phytophthora cinnamomi var. cinnamomi CBS 144.22	var. cinnamomi CBS 144.22	http://FungiDB.org/common/downloads/Current_Release/PcinnamomiCBS144-22/fasta/data/FungiDB-41_PcinnamomiCBS144-22_Genome.fasta
Aspergillus wentii DTO 134E9	DTO 134E9	http://FungiDB.org/common/downloads/Current_Release/AwentiiDTO134E9/fasta/data/FungiDB-41_AwentiiDTO134E9_Genome.fasta
Aspergillus zonatus CBS 506.65	CBS 506.65	http://FungiDB.org/common/downloads/Current_Release/AzonataCBS506.65/fasta/data/FungiDB-41_AzonataCBS506.65_Genome.fasta
Fusarium oxysporum f. sp. cubense tropical race 4 54006	f. sp. cubense tropical race 4 54006	http://FungiDB.org/common/downloads/Current_Release/Foxysporum54006/fasta/data/FungiDB-41_Foxysporum54006_Genome.fasta
Fusarium oxysporum f. sp. melonis 26406	f. sp. melonis 26406	http://FungiDB.org/common/downloads/Current_Release/Foxysporum26406/fasta/data/FungiDB-41_Foxysporum26406_Genome.fasta
Aspergillus luchuensis CBS 106.47	CBS 106.47	http://FungiDB.org/common/downloads/Current_Release/AluchuensisCBS106.47/fasta/data/FungiDB-41_AluchuensisCBS106.47_Genome.fasta
Saprolegnia diclina VS20	VS20	http://FungiDB.org/common/downloads/Current_Release/SdiclinaVS20/fasta/data/FungiDB-41_SdiclinaVS20_Genome.fasta
Aspergillus glaucus CBS 516.65	CBS 516.65	http://FungiDB.org/common/downloads/Current_Release/AglaucusCBS516.65/fasta/data/FungiDB-41_AglaucusCBS516.65_Genome.fasta
Pneumocystis jirovecii SE8	SE8	http://FungiDB.org/common/downloads/Current_Release/PjiroveciiSE8/fasta/data/FungiDB-41_PjiroveciiSE8_Genome.fasta
Pythium aphanidermatum DAOM BR444	DAOM BR444	http://FungiDB.org/common/downloads/Current_Release/PaphanidermatumDAOMBR444/fasta/data/FungiDB-41_PaphanidermatumDAOMBR444_Genome.fasta
Pythium arrhenomanes ATCC 12531	ATCC 12531	http://FungiDB.org/common/downloads/Current_Release/ParrhenomanesATCC12531/fasta/data/FungiDB-41_ParrhenomanesATCC12531_Genome.fasta
Pythium irregulare DAOM BR486	DAOM BR486	http://FungiDB.org/common/downloads/Current_Release/PirregulareDAOMBR486/fasta/data/FungiDB-41_PirregulareDAOMBR486_Genome.fasta
Pythium iwayamai DAOM BR242034	DAOM BR242034	http://FungiDB.org/common/downloads/Current_Release/PiwayamaiDAOMBR242034/fasta/data/FungiDB-41_PiwayamaiDAOMBR242034_Genome.fasta
Pythium ultimum var. sporangiiferum BR650	var. sporangiiferum BR650	http://FungiDB.org/common/downloads/Current_Release/PultimumBR650/fasta/data/FungiDB-41_PultimumBR650_Genome.fasta
Phytopythium vexans Pythium vexans DAOM BR484	Pythium vexans DAOM BR484	http://FungiDB.org/common/downloads/Current_Release/PvexansDAOMBR484/fasta/data/FungiDB-41_PvexansDAOMBR484_Genome.fasta
Fusarium proliferatum ET1	ET1	http://FungiDB.org/common/downloads/Current_Release/FproliferatumET1/fasta/data/FungiDB-41_FproliferatumET1_Genome.fasta
Fusarium oxysporum f. sp. cubense race 1	f. sp. cubense race 1	http://FungiDB.org/common/downloads/Current_Release/Foxysporumrace1/fasta/data/FungiDB-41_Foxysporumrace1_Genome.fasta
Fusarium oxysporum f. sp. cubense race 4	f. sp. cubense race 4	http://FungiDB.org/common/downloads/Current_Release/Foxysporumrace4/fasta/data/FungiDB-41_Foxysporumrace4_Genome.fasta
Fusarium fujikuroi IMI 58289	IMI 58289	http://FungiDB.org/common/downloads/Current_Release/FfujikuroiIMI58289/fasta/data/FungiDB-41_FfujikuroiIMI58289_Genome.fasta
Cryptococcus gattii EJB2	EJB2	http://FungiDB.org/common/downloads/Current_Release/CgattiiEJB2/fasta/data/FungiDB-41_CgattiiEJB2_Genome.fasta
Cryptococcus gattii VGIV IND107	IND107	http://FungiDB.org/common/downloads/Current_Release/CgattiiIND107/fasta/data/FungiDB-41_CgattiiIND107_Genome.fasta
Cryptococcus gattii NT-10	NT-10	http://FungiDB.org/common/downloads/Current_Release/CgattiiNT10/fasta/data/FungiDB-41_CgattiiNT10_Genome.fasta
Cryptococcus gattii VGIII Cryptococcus gattii CA1873	Cryptococcus gattii CA1873	http://FungiDB.org/common/downloads/Current_Release/CgattiiCA1873/fasta/data/FungiDB-41_CgattiiCA1873_Genome.fasta
Aspergillus campestris IBT 28561	IBT 28561	http://FungiDB.org/common/downloads/Current_Release/AcampestrisIBT28561/fasta/data/FungiDB-41_AcampestrisIBT28561_Genome.fasta
Aspergillus steynii IBT 23096	IBT 23096	http://FungiDB.org/common/downloads/Current_Release/AsteyniiIBT23096/fasta/data/FungiDB-41_AsteyniiIBT23096_Genome.fasta
Aspergillus novofumigatus IBT 16806	IBT 16806	http://FungiDB.org/common/downloads/Current_Release/AnovofumigatusIBT16806/fasta/data/FungiDB-41_AnovofumigatusIBT16806_Genome.fasta
Aspergillus ochraceoroseus IBT 24754	IBT 24754	http://FungiDB.org/common/downloads/Current_Release/AochraceoroseusIBT24754/fasta/data/FungiDB-41_AochraceoroseusIBT24754_Genome.fasta
Sporothrix schenckii 1099-18	1099-18	http://FungiDB.org/common/downloads/Current_Release/Sschenckii1099-18/fasta/data/FungiDB-41_Sschenckii1099-18_Genome.fasta
Sporothrix brasiliensis 5110	5110	http://FungiDB.org/common/downloads/Current_Release/Sbrasiliensis5110/fasta/data/FungiDB-41_Sbrasiliensis5110_Genome.fasta
Cryptococcus neoformans var. neoformans JEC21	var. neoformans JEC21	http://FungiDB.org/common/downloads/Current_Release/CneoformansJEC21/fasta/data/FungiDB-41_CneoformansJEC21_Genome.fasta
Coccidioides posadasii C735 delta SOWgp	C735 delta SOWgp	http://FungiDB.org/common/downloads/Current_Release/CposadasiiC735deltSOWgp/fasta/data/FungiDB-41_CposadasiiC735deltSOWgp_Genome.fasta
Aspergillus nidulans FGSC A4	FGSC A4	http://FungiDB.org/common/downloads/Current_Release/AnidulansFGSCA4/fasta/data/FungiDB-41_AnidulansFGSCA4_Genome.fasta
Fusarium graminearum PH-1	PH-1	http://FungiDB.org/common/downloads/Current_Release/FgraminearumPH-1/fasta/data/FungiDB-41_FgraminearumPH-1_Genome.fasta
Cryptococcus neoformans var. grubii H99	var. grubii H99	http://FungiDB.org/common/downloads/Current_Release/CneoformansH99/fasta/data/FungiDB-41_CneoformansH99_Genome.fasta
Candida albicans SC5314	SC5314	http://FungiDB.org/common/downloads/Current_Release/CalbicansSC5314/fasta/data/FungiDB-41_CalbicansSC5314_Genome.fasta
Ustilago maydis 521	521	http://FungiDB.org/common/downloads/Current_Release/Umaydis521/fasta/data/FungiDB-41_Umaydis521_Genome.fasta
Coprinopsis cinerea okayama7#130	okayama7#130	http://FungiDB.org/common/downloads/Current_Release/Ccinereaokay7-130/fasta/data/FungiDB-41_Ccinereaokay7-130_Genome.fasta
Magnaporthe oryzae 70-15	70-15	http://FungiDB.org/common/downloads/Current_Release/Moryzae70-15/fasta/data/FungiDB-41_Moryzae70-15_Genome.fasta
Rhizopus delemar RA 99-880	RA 99-880	http://FungiDB.org/common/downloads/Current_Release/RdelemarRA99-880/fasta/data/FungiDB-41_RdelemarRA99-880_Genome.fasta
Coccidioides immitis RS	RS	http://FungiDB.org/common/downloads/Current_Release/CimmitisRS/fasta/data/FungiDB-41_CimmitisRS_Genome.fasta
Phanerochaete chrysosporium RP-78	RP-78	http://FungiDB.org/common/downloads/Current_Release/PchrysosporiumRP-78/fasta/data/FungiDB-41_PchrysosporiumRP-78_Genome.fasta
Cryptococcus neoformans var. neoformans B-3501A	var. neoformans B-3501A	http://FungiDB.org/common/downloads/Current_Release/CneoformansB-3501A/fasta/data/FungiDB-41_CneoformansB-3501A_Genome.fasta
