#name	species	division	taxonomy_id	assembly	assembly_accession	genebuild	variation	pan_compara	peptide_compara	genome_alignments	other_alignments	core_db	species_id
[Candida] auris	_candida_auris	EnsemblFungi	498019	ASM118947v1	GCA_001189475.1	2015-08-ENA	N	N	Y	N	Y	fungi_ascomycota3_collection_core_40_93_1	44
[Candida] glabrata	_candida_glabrata	EnsemblFungi	5478	ASM254v2	GCA_000002545.2	2015-02-ENA	N	N	Y	N	Y	fungi_ascomycota1_collection_core_40_93_1	127
[Candida] glabrata (GCA_001466525)	_candida_glabrata_gca_001466525	EnsemblFungi	5478	ASM146652v1	GCA_001466525.1	2016-01-ENA	N	N	N	N	Y	fungi_ascomycota3_collection_core_40_93_1	52
[Candida] glabrata (GCA_001466535)	_candida_glabrata_gca_001466535	EnsemblFungi	5478	ASM146653v1	GCA_001466535.1	2016-01-ENA	N	N	N	N	Y	fungi_ascomycota3_collection_core_40_93_1	58
[Candida] glabrata (GCA_001466565)	_candida_glabrata_gca_001466565	EnsemblFungi	5478	ASM146656v1	GCA_001466565.1	2016-01-ENA	N	N	N	N	Y	fungi_ascomycota3_collection_core_40_93_1	56
[Candida] glabrata (GCA_001466575)	_candida_glabrata_gca_001466575	EnsemblFungi	5478	ASM146657v1	GCA_001466575.1	2016-01-ENA	N	N	N	N	Y	fungi_ascomycota3_collection_core_40_93_1	50
[Candida] glabrata (GCA_001466635)	_candida_glabrata_gca_001466635	EnsemblFungi	5478	ASM146663v1	GCA_001466635.1	2016-01-ENA	N	N	N	N	Y	fungi_ascomycota3_collection_core_40_93_1	60
[Candida] glabrata (GCA_001466685)	_candida_glabrata_gca_001466685	EnsemblFungi	5478	ASM146668v1	GCA_001466685.1	2016-01-ENA	N	N	N	N	Y	fungi_ascomycota3_collection_core_40_93_1	59
[Candida] intermedia	_candida_intermedia	EnsemblFungi	45354	CBS 141442 assembly	GCA_900106115.1	2016-11-ENA	N	N	Y	N	Y	fungi_ascomycota3_collection_core_40_93_1	246
[Candida] intermedia (GCA_900106125)	_candida_intermedia_gca_900106125	EnsemblFungi	45354	PYCC 4715 assembly	GCA_900106125.1	2016-11-ENA	N	N	N	N	Y	fungi_ascomycota3_collection_core_40_93_1	250
[Candida] tenuis ATCC 10573	_candida_tenuis_atcc_10573	EnsemblFungi	590646	Candida tenuis v1.0	GCA_000223465.1	2011-08-ENA	N	N	Y	N	Y	fungi_ascomycota1_collection_core_40_93_1	130
