 Absidia glauca
 Acidomyces richmondensis
 Acidomyces richmondensis_bfw
 Acremonium chrysogenum_atcc_11550
 Agaricus bisporus_var_burnettii_jb137_s8
 Allomyces macrogynus_atcc_38327
 Alternaria alternata
 Amanita muscaria_koide_bx008
 Amphiamblys sp_wsbs2006
 Anncaliia algerae_pra109
 Anncaliia algerae_pra339
 Anthracocystis flocculosa_pf_1
 Arthrobotrys oligospora_atcc_24927
 Arthroderma otae_cbs_113480
 Aschersonia aleyrodis_rcef_2490
 Ascochyta rabiei
 Ascoidea rubescens_dsm_1968
 Ascosphaera apis_arsef_7405
 Ashbya gossypii
 Aspergillus aculeatus_atcc_16872
 Aspergillus bombycis
 Aspergillus brasiliensis_cbs_101740
 Aspergillus calidoustus
 Aspergillus carbonarius_item_5010
 Aspergillus clavatus
 Aspergillus cristatus
 Aspergillus flavus
 Aspergillus flavus_af70
 Aspergillus fumigatus
 Aspergillus fumigatus_var_rp_2014
 Aspergillus fumigatus_z5
 Aspergillus fumigatusa1163
 Aspergillus glaucus_cbs_516_65
 Aspergillus lentulus
 Aspergillus luchuensis
 Aspergillus luchuensis_cbs_106_47
 Aspergillus nidulans
 Aspergillus nidulans_fgsc_a4
 Aspergillus niger
 Aspergillus niger_atcc_1015
 Aspergillus niger_gca_001515345
 Aspergillus nomius_nrrl_13137
 Aspergillus ochraceoroseus
 Aspergillus oryzae
 Aspergillus oryzae_100_8
 Aspergillus oryzae_3_042
 Aspergillus oryzae_gca_002007945
 Aspergillus parasiticus_su_1
 Aspergillus rambellii
 Aspergillus ruber_cbs_135680
 Aspergillus sydowii_cbs_593_65
 Aspergillus terreus
 Aspergillus tubingensis_cbs_134_48
 Aspergillus udagawae
 Aspergillus ustus
 Aspergillus versicolor_cbs_583_65
 Aspergillus wentii_dto_134e9
 Aureobasidium melanogenum_cbs_110374
 Aureobasidium namibiae_cbs_147_97
 Aureobasidium pullulans
 Aureobasidium pullulans_exf_150
 Aureobasidium subglaciale_exf_2481
 Babjeviella inositovora_nrrl_y_12698
 Batrachochytrium dendrobatidis_jam81
 Batrachochytrium dendrobatidis_jel423
 Batrachochytrium salamandrivorans
 Baudoinia panamericana_uamh_10762
 Beauveria bassiana
 Beauveria bassiana_arsef_2860
 Beauveria bassiana_d1_5
 Bipolaris maydis_atcc_48331
 Bipolaris maydis_c5
 Bipolaris oryzae_atcc_44560
 Bipolaris sorokiniana_nd90pr
 Bipolaris victoriae_fi3
 Bipolaris zeicola_26_r_13
