Agaricus bisporus
Ajellomyces dermatitidis
Alternaria alternata
Amorphotheca resinae
Anthracocystis flocculosa
Arthrobotrys oligospora
Arthroderma otae
Ascoidea rubescens
Ashbya gossypii
Aspergillus aculeatus
Aspergillus bombycis
Aspergillus campestris
Aspergillus candidus
Aspergillus clavatus
Aspergillus fischeri
Aspergillus flavus
Aspergillus fumigatus
Aspergillus glaucus
Aspergillus nidulans
Aspergillus niger
Aspergillus nomius
Aspergillus novofumigatus
Aspergillus oryzae
Aspergillus steynii
Aspergillus terreus
Aureobasidium namibiae
Aureobasidium subglaciale
Babjeviella inositovora
Batrachochytrium dendrobatidis
Baudoinia panamericana
Beauveria bassiana
Bipolaris maydis
Bipolaris oryzae
Bipolaris sorokiniana
Bipolaris victoriae
Bipolaris zeicola
Botrytis cinerea
Candida albicans
Candida dubliniensis
Candida glabrata
Candida orthopsilosis
Candida tanzawaensis
Candida tenuis
Candida tropicalis
Capronia coronata
Capronia epimyces
Cercospora beticola
Chaetomium globosum
Chaetomium thermophilum
Cladophialophora bantiana
Cladophialophora carrionii
Cladophialophora immunda
Cladophialophora psammophila
Cladophialophora yegresii
Clavispora lusitaniae
Coccidioides immitis
Coccidioides posadasii
Colletotrichum graminicola
Colletotrichum higginsianum
Colletotrichum orchidophilum
Coniophora puteana
Coniosporium apollinis
Coprinopsis cinerea
Cordyceps fumosorosea
Cordyceps militaris
Cryptococcus amylolentus
Cryptococcus gattii
Cryptococcus neoformans
Cutaneotrichosporon oleaginosus
Cyberlindnera jadinii
Cyphellophora europaea
Debaryomyces fabryi
Debaryomyces hansenii
Dichomitus squalens
Diplodia corticola
Encephalitozoon cuniculi
Encephalitozoon hellem
Encephalitozoon intestinalis
Encephalitozoon romaleae
Endocarpon pusillum
Eremothecium cymbalariae
Eremothecium gossypii
Eremothecium sinecaudum
Exophiala aquamarina
Exophiala dermatitidis
Exophiala mesophila
Exophiala oligosperma
Exophiala spinifera
Exophiala xenobiotica
Fibroporia radiculosa
Fomitiporia mediterranea
Fonsecaea erecta
Fonsecaea monophora
Fonsecaea multimorphosa
Fonsecaea nubica
Fonsecaea pedrosoi
Fusarium fujikuroi
Fusarium graminearum
Fusarium oxysporum
Fusarium pseudograminearum
Fusarium verticillioides
Gaeumannomyces tritici
Gibberella moniliformis
Glarea lozoyensis
Gloeophyllum trabeum
Grosmannia clavigera
Heterobasidion irregulare
Histoplasma capsulatum
Hyphopichia burtonii
Kalmanozyma brasiliensis
Kazachstania africana
Kazachstania naganishii
Kluyveromyces lactis
Kluyveromyces marxianus
Kockovaella imperatae
Komagataella phaffii
Kuraishia capsulata
Kwoniella bestiolae
Kwoniella dejecticola
Kwoniella mangroviensis
Kwoniella pini
Laccaria bicolor
Lachancea lanzarotensis
Lachancea thermotolerans
Leptosphaeria maculans
Lobosporangium transversale
Lodderomyces elongisporus
Magnaporthe oryzae
Malassezia globosa
Malassezia pachydermatis
Malassezia sympodialis
Marssonina brunnea
Melampsora larici-populina
Meliniomyces bicolor
Metarhizium acridum
Metarhizium brunneum
Metarhizium robertsii
Metschnikowia bicuspidata
Meyerozyma guilliermondii
Mitosporidium daphniae
Mixia osmundae
Moesziomyces antarcticus
Nannizzia gypsea
Naumovozyma castellii
Naumovozyma dairenensis
Nectria haematococca
Nematocida parisii
Neurospora crassa
Neurospora tetrasperma
Nosema ceranae
Ogataea parapolymorpha
Ogataea polymorpha
Ordospora colligata
Paracoccidioides brasiliensis
Paracoccidioides lutzii
Paraphaeosphaeria sporulosa
Parastagonospora nodorum
Penicilliopsis zonata
Penicillium arizonense
Penicillium chrysogenum
Penicillium digitatum
Penicillium expansum
Penicillium marneffei
Pestalotiopsis fici
Phaeoacremonium minimum
Phaeosphaeria nodorum
Phanerochaete carnosa
Phialocephala scopiformis
Phialophora attae
Phycomyces blakesleeanus
Pichia kudriavzevii
Pichia membranifaciens
Pneumocystis carinii
Pneumocystis jirovecii
Pneumocystis murina
Pochonia chlamydosporia
Podospora anserina
Postia placenta
Pseudocercospora fijiensis
Pseudogymnoascus destructans
Pseudogymnoascus verrucosus
Pseudozyma hubeiensis
Puccinia graminis
Punctularia strigosozonata
Purpureocillium lilacinum
Pyrenophora tritici-repentis
Ramularia collo-cygni
Rasamsonia emersonii
Rhinocladiella mackenziei
Rhizopus microsporus
Rhodotorula graminis
Rhodotorula toruloides
Saccharomyces cerevisiae
Saccharomyces eubayanus
Saitoella complicata
Scedosporium apiospermum
Scheffersomyces stipitis
Schizophyllum commune
Schizosaccharomyces cryophilus
Schizosaccharomyces japonicus
Schizosaccharomyces octosporus
Schizosaccharomyces pombe
Sclerotinia sclerotiorum
Serpula lacrymans
Setosphaeria turcica
Sordaria macrospora
Spathaspora passalidarum
Sphaerulina musiva
Spizellomyces punctatus
Sporothrix schenckii
Stereum hirsutum
Sugiyamaella lignohabitans
Talaromyces atroroseus
Talaromyces stipitatus
Tetrapisispora blattae
Tetrapisispora phaffii
Thermothelomyces thermophila
Thielavia terrestris
Tilletiaria anomala
Torulaspora delbrueckii
Trametes versicolor
Tremella mesenterica
Trichoderma asperellum
Trichoderma atroviride
Trichoderma citrinoviride
Trichoderma gamsii
Trichoderma harzianum
Trichoderma reesei
Trichoderma virens
Trichophyton benhamiae
Trichophyton rubrum
Trichophyton verrucosum
Trichosporon asahii
Tsuchiyaea wingfieldii
Tuber melanosporum
Uncinocarpus reesii
Ustilago maydis
Vanderwaltozyma polyspora
Vavraia culicis
Verruconis gallopava
Verticillium alfalfae
Verticillium dahliae
Vittaforma corneae
Wallemia ichthyophaga
Wallemia mellicola
Wickerhamiella sorbophila
Wickerhamomyces anomalus
Wickerhamomyces ciferrii
Xylona heveae
Yarrowia lipolytica
Zygosaccharomyces rouxii
Zymoseptoria tritici
