#genera_name	1000G	NCBI	Ensembl
Agaricus	2	1	1
Alternaria	4	1	1
Arthrobotrys	1	1	1
Arthroderma	1	1	1
Ascoidea	1	1	1
Aspergillus	84	16	38
Aureobasidium	4	2	5
Babjeviella	1	1	1
Batrachochytrium	1	1	3
Baudoinia	1	1	1
Beauveria	1	1	3
Botrytis	1	1	3
Candida	4	7	32
Capronia	3	2	2
Chaetomium	1	2	2
Cladophialophora	5	5	6
Clavispora	1	1	1
Coccidioides	1	2	7
Colletotrichum	20	3	16
Coniophora	2	1	1
Coniosporium	1	1	1
Coprinopsis	3	1	1
Cordyceps	1	2	4
Cryptococcus	6	3	23
Cyberlindnera	1	1	3
Cyphellophora	1	1	1
Debaryomyces	1	2	2
Dichomitus	4	1	1
Diplodia	1	1	3
Encephalitozoon	4	4	5
Endocarpon	1	1	1
Eremothecium	1	3	3
Exophiala	9	6	7
Fibroporia	1	1	1
Fomitiporia	1	1	1
Fonsecaea	4	5	6
Fusarium	7	5	28
Gaeumannomyces	1	1	1
Glarea	1	1	2
Gloeophyllum	1	1	1
Grosmannia	1	1	1
Heterobasidion	1	1	1
Histoplasma	1	1	4
Hyphopichia	1	1	1
Kazachstania	1	2	2
Kluyveromyces	1	2	3
Kuraishia	1	1	1
Laccaria	2	1	2
Leptosphaeria	1	1	1
Lodderomyces	1	1	1
Magnaporthe	1	1	2
Malassezia	2	3	3
Marssonina	1	1	1
Melampsora	3	1	1
Metarhizium	2	3	12
Metschnikowia	3	1	1
Meyerozyma	1	1	1
Mixia	1	1	2
Moesziomyces	1	1	2
Nematocida	1	1	6
Neurospora	7	2	4
Nosema	1	1	4
Ogataea	2	2	2
Paracoccidioides	2	2	5
Penicillium	30	5	27
Phaeoacremonium	2	1	1
Phaeosphaeria	1	1	1
Phanerochaete	2	1	1
Phialocephala	1	1	2
Phialophora	1	1	2
Phycomyces	4	1	1
Pichia	2	2	4
Pneumocystis	1	3	3
Pochonia	1	1	1
Podospora	4	1	1
Postia	2	1	1
Pseudocercospora	1	1	2
Pseudogymnoascus	1	2	22
Pseudozyma	2	1	1
Puccinia	7	1	6
Punctularia	1	1	1
Purpureocillium	1	1	2
Pyrenophora	2	1	2
Rhizopus	5	1	3
Rhodotorula	6	2	5
Saccharomyces	7	2	118
Saitoella	1	1	2
Scheffersomyces	1	1	1
Schizophyllum	3	1	1
Schizosaccharomyces	4	4	4
Sclerotinia	1	1	3
Serpula	3	1	2
Setosphaeria	2	1	1
Sordaria	1	1	1
Spathaspora	1	1	1
Spizellomyces	1	1	1
Stereum	1	1	1
Sugiyamaella	1	1	1
Talaromyces	5	2	5
Thielavia	5	1	1
Tilletiaria	1	1	1
Torulaspora	1	1	1
Trametes	9	1	3
Tremella	2	1	1
Trichoderma	11	7	7
Trichophyton	2	3	19
Trichosporon	5	1	2
Tuber	2	1	1
Uncinocarpus	1	1	1
Ustilago	2	1	3
Verruconis	1	1	1
Verticillium	2	2	5
Wallemia	2	2	2
Wickerhamomyces	1	2	2
Xylona	1	1	1
Yarrowia	2	1	2
Zygosaccharomyces	1	1	4
Zymoseptoria	3	1	2
